user,location,geoLocation,tweet,timeStamp,replies,retweets,favorites,url
@Moore_Of_Hannah,,,"Time to start on my almost completely blank Critical Reading Journal
#ChristmasBreak
#ShouldntHaveTakenAPLit",8:57 AM - 4 Jan 2015,0,3,7,https://www.twitter.com/Moore_Of_Hannah/status/551784409213308929
@AlexisMarie268,"Plainview, Texas",,Good times with @crawford_dakota @BrennenLeFevre @maxagerber #ChristmasBreak #gladyoureback,10:27 PM - 19 Dec 2014,1,3,5,https://www.twitter.com/AlexisMarie268/status/546190238675378176
@Jack_McLeay,,,Xmas break has been #crazy ! I've hugged like 4 girls NOT counting my mom and it's not even Christmas yet!! #christmasbreak,10:19 PM - 22 Dec 2013,1,1,13,https://www.twitter.com/Jack_McLeay/status/415003599656079361
@ChooseHSUTX,"Abilene, Texas",,Current Cowboys: Finals are over! Drive safe and from all of us at HSU have a great Christmas! #ChristmasBreak,10:31 AM - 8 Dec 2016,0,8,19,https://www.twitter.com/ChooseHSUTX/status/806929136203792386
@haleybergan,,,This week has full permission to fly by. #christmasbreak #5days,7:14 PM - 16 Dec 2012,0,3,5,https://www.twitter.com/haleybergan/status/280511184824832000
@MadisonJane13,"Louisville, KY",,Seven. More. Days. #WeCanDoIt #ChristmasBreak,4:27 PM - 9 Dec 2012,1,8,1,https://www.twitter.com/MadisonJane13/status/277932630996045825
@HannahSchlender,Bozeman MT,,This week is Almost over.. Cannot wait #ChristmasBreak,9:22 PM - 17 Dec 2013,0,1,4,https://www.twitter.com/HannahSchlender/status/413177471098294272
@daniscottluge,Widnes & Bath,,"Training complete, finished w a PB  Next World Cup is 4th Jan @lugeGB #luge #tasstalentshines #christmasbreakpic.twitter.com/xU1Klc27IY",3:38 AM - 7 Dec 2016,2,3,14,https://www.twitter.com/daniscottluge/status/806462844128653313
@tnother79,,,Last day of school #christmasbreak #merrychristmas ,5:10 AM - 19 Dec 2013,0,4,8,https://www.twitter.com/tnother79/status/413657698438103040
@Madison_Ruble,MO & AL,,Last day of school tomorrow. #ChristmasBreak ,5:26 PM - 16 Dec 2012,2,2,3,https://www.twitter.com/Madison_Ruble/status/280484173901348864
@BrennaMcDonough,Salve Regina University,,This week needs to be over now. #christmasbreak,11:56 AM - 19 Dec 2012,0,7,3,https://www.twitter.com/BrennaMcDonough/status/281488229335719936
@amanda_b_10,,,Those C's on my grades right now actually stand for Christmas #ChristmasBreak,11:17 AM - 21 Dec 2016,0,4,18,https://www.twitter.com/amanda_b_10/status/811651826017714176
@_MalikHenry,New York,,I spent the majority of the day laying around in my Christmas sweater drinking egg nog. And...I plan on partaking in the same activity tomorrow. #Christmasbreak. ,1:59 PM - 12 Dec 2017,0,0,23,https://www.twitter.com/_MalikHenry/status/940702798047477763
@dechanaaaaaaaaa,,,last week of school  #christmasbreak ,8:57 AM - 14 Dec 2014,1,166,20,https://www.twitter.com/dechanaaaaaaaaa/status/544174418071932928
@Brooklyynn_24,John 3:16,,I have done absolutely nothing all day and I love it #christmasbreak,3:42 PM - 23 Dec 2013,0,1,4,https://www.twitter.com/Brooklyynn_24/status/415266087542861824
@montanamknight,,,I think I've gotten more sleep these past 2days than all of finals week!  #christmasbreak,10:28 AM - 17 Dec 2013,0,3,3,https://www.twitter.com/montanamknight/status/413012822486835200
@RudyEli59,"Elsa, TX",,It's Only This Week & Next! #ChristmasBreak ,8:40 AM - 7 Dec 2014,0,7,2,https://www.twitter.com/RudyEli59/status/541633257377259520
@alliegator05,,,"I did nothing today, and it was amazing #christmasbreak",3:04 PM - 12 Dec 2016,0,2,12,https://www.twitter.com/alliegator05/status/808447580019388416
@Jordybaby29,The Dirty Burg,"Fond du Lac, WI","No more school, no more stress #ChristmasBreak",3:17 PM - 17 Dec 2015,0,2,13,https://www.twitter.com/Jordybaby29/status/677628823626739714
@caitcress,LI | Baltimore | Cape Town,,I cant wait to sleep late #christmasbreak,8:12 PM - 21 Dec 2012,0,3,1,https://www.twitter.com/caitcress/status/282337765801213952
@KjRustia,,,Cant wait for next week!! #ComMed #Christmasbreak ,11:59 PM - 7 Dec 2017,2,0,23,https://www.twitter.com/KjRustia/status/939041666383544320
@MelissaJPace,,,Last night with @BaylieONeill @lwatts_93 & @heffner_sarah #DontLeaveMe #christmasBreak,8:25 PM - 11 Dec 2012,0,2,2,https://www.twitter.com/MelissaJPace/status/278717286997708800
@krasure12,"Midland, TX",,Don't think I've ever been this sick of school! #christmasbreak,11:13 AM - 16 Dec 2012,0,1,2,https://www.twitter.com/krasure12/status/280390330971484160
@briromz,,,"Shortened periods tomorrow, and you are most likely not going to school Friday. Everyone in Tottenville just smirked #4days #ChristmasBreak",8:32 PM - 16 Dec 2012,0,7,4,https://www.twitter.com/briromz/status/280530912641429505
@ZachWalz15,"St. Cloud, MN",,Baby come back #ChristmasBreak,3:41 PM - 1 Jan 2013,0,1,9,https://www.twitter.com/ZachWalz15/status/286255871678369792
@RexCityy,California,,One month off!!! #Christmasbreak,4:56 PM - 5 Dec 2013,0,2,6,https://www.twitter.com/RexCityy/status/408761835517534208
@katcox11,,,Done with my first semester of college! #ChristmasBreak,12:57 PM - 13 Dec 2012,1,1,2,https://www.twitter.com/katcox11/status/279329314460286976
@sydrugan,,,Can this week be over yet? #finals #christmasbreak,8:17 PM - 9 Dec 2012,0,1,4,https://www.twitter.com/sydrugan/status/277990360528076801
@NessyNeilly,NS & ON,,Can't wait to go home and make small talk at shitty bars with people who were rude to me in high school!!! #tistheseason #christmasbreak,10:23 PM - 11 Dec 2012,1,2,7,https://www.twitter.com/NessyNeilly/status/278746770870255617
@shelbysfoster,,,"Why yes, I do have the next countdown going... #sorrynotsorry #christmasbreak #favbreakpic.twitter.com/6gQHqnFckv",2:53 PM - 27 Nov 2019,0,0,3,https://www.twitter.com/shelbysfoster/status/1199823490108526594
@Coleplay_A,#GenerationChange,,No joke I'm going to have a hard time remembering my schedule tomorrow  #ChristmasBreak,9:04 PM - 8 Jan 2014,0,2,2,https://www.twitter.com/Coleplay_A/status/421145372761661441
@grantstuddard21,"Raleigh, NC",,I need some time off! #ChristmasBreak,3:54 PM - 12 Dec 2012,0,4,0,https://www.twitter.com/grantstuddard21/status/279011378637987840
@BDunc_SAE,Greenville/Toledo,,Anybody else think that this may be the slowest week in the history of weeks? #Christmasbreak,6:03 PM - 18 Dec 2012,0,3,5,https://www.twitter.com/BDunc_SAE/status/281218144163463168
@_CJ_Smith_,Iowa/Minnesota,,Greasy win hashtag ferda #grizzled #soapbombsferdays #christmasbreak #blessed,9:22 PM - 14 Dec 2013,0,2,10,https://www.twitter.com/_CJ_Smith_/status/412090387965030400
@swiffer08,,"Stormont, Dundas and Glengarry, Ontario",one weeeeeeeeeeeeeeeeek #christmasbreak,7:39 PM - 6 Dec 2013,0,2,8,https://www.twitter.com/swiffer08/status/409165318628470784
@SiriaChirinos,"Honduras, Central America",,"@DiegoBoneta CAN'T STOP listening to ""Rock of Ages"" Soundtrack & watching it's Videos on YouTube! :P #80sGirl #RockOn #ChristmasBreak TY!",1:03 PM - 23 Dec 2012,1,15,16,https://www.twitter.com/SiriaChirinos/status/282954713119485952
@wildcatshopcwu,"Ellensburg, WA",,"If you Wildcats left town for Christmas break, this is what you are missing.  #CWU #freezing #wildcats #christmasbreakpic.twitter.com/uaMdFtME2e",10:11 PM - 17 Dec 2016,0,2,13,https://www.twitter.com/wildcatshopcwu/status/810366767088312320
@sarah_ashley93,901,,"Yeah, I don't think I'm going to school today. Haha! #ChristmasBreak #PCCPerks",6:55 AM - 15 Jan 2013,1,2,2,https://www.twitter.com/sarah_ashley93/status/291196933614215169
@ClaireHouse,Wirral / Merseyside / Cheshire,,Lots of people are finishing today for the #christmasbreak. But it's still busy here @ClaireHouse! #hospicecarepic.twitter.com/GFkFkbRah8,8:23 AM - 18 Dec 2015,1,3,10,https://www.twitter.com/ClaireHouse/status/677886930382536705
@Jenzandstra,"Edmonton, Alberta",,7 equipment passes and 14 building passes later and i am done semester 1 of second year. #christmasbreak #ni http://instagr.am/p/TPBYILQipP/ ,3:05 PM - 14 Dec 2012,0,0,2,https://www.twitter.com/Jenzandstra/status/279723939847102464
@n8doginthelab,,,"Sleep, eat, drink beer, snap chat #christmasbreak",10:36 AM - 24 Dec 2012,0,2,5,https://www.twitter.com/n8doginthelab/status/283279934166814720
@JaredKramer37,The yard,,I love not knowing what day it is #christmasbreak,8:01 AM - 27 Dec 2014,1,1,10,https://www.twitter.com/JaredKramer37/status/548871410266144768
@AshleyPoole63,"San Marcos, TX",,A day and a half left!!! >> #christmasbreak,6:18 AM - 20 Dec 2012,0,4,1,https://www.twitter.com/AshleyPoole63/status/281765644842725376
@morganbcooke,"Augusta, GA",,12:10 tomorrow seriously can not come fast enough! #Christmasbreak #stressfree,2:50 PM - 20 Dec 2012,0,3,1,https://www.twitter.com/morganbcooke/status/281894356187770881
@Blond_Teacher,,,"I can't even remember what I was teaching before #ChristmasBreak, so not sure what my expectation should be of the kids. #teacherproblems",2:08 PM - 30 Dec 2015,3,71,153,https://www.twitter.com/Blond_Teacher/status/682322422142472193
@BrookeWakeland5,"St Louis, MO",,Just 10 more days! #ICanDoThis #ChristmasBreak,6:11 AM - 12 Dec 2012,0,1,2,https://www.twitter.com/BrookeWakeland5/status/278864601066647552
@lauren_copponex,"Louisiana, USA",,I can't wait to be responsibility free for an entire month #christmasbreak #soready,9:36 AM - 13 Nov 2013,1,6,6,https://www.twitter.com/lauren_copponex/status/400678471128858624
@banannie87,,,Ugly sweaters! #christmasbreak #bestfriends #turtlenecks @lorloregg @Shmami89 @paigescage pic.twitter.com/6MakH2eG,1:41 PM - 21 Dec 2012,0,0,5,https://www.twitter.com/banannie87/status/282239299850747904
@laurashall93,"SAN MARCOS,TX",,Cause the semester is over & it's ladies night... #ChristmasBreak @paytonalinnpic.twitter.com/KlaUfJkWH7,8:07 PM - 10 Dec 2014,2,4,63,https://www.twitter.com/laurashall93/status/542893499410960384
@lexzambrano22,,,T-minus 5 days until my stress will no longer be existent #christmasbreak,6:00 PM - 15 Dec 2013,0,5,6,https://www.twitter.com/lexzambrano22/status/412401914249093120
@haley_king11,"Fort Collins, Colorado",,"5 weeks of no homework, no boring lectures, and chillin with some awesome people? I can dig it. #Christmasbreak",10:41 PM - 12 Dec 2012,0,3,1,https://www.twitter.com/haley_king11/status/279113771786575872
@alexsali31,Indiana,"Perry, IN",Officially done with my first semester of college! #SoooHappy #ChristmasBreak,7:32 AM - 12 Dec 2012,0,1,8,https://www.twitter.com/alexsali31/status/278884944997122048
@Jessica_Boyd850,,,I just found myself watching Oprah's interview with Justin Bieber. How did this happen & WHAT IS MY LIFE COMING TO? #1:30am #christmasbreak,11:34 PM - 16 Dec 2012,0,0,6,https://www.twitter.com/Jessica_Boyd850/status/280576579170615296
@pablico,CGY x CEB,,Being able to wake up late without having to worry about being late in a class. What I love about breaks! :D #ChristmasBreak,7:05 PM - 22 Dec 2013,0,3,9,https://www.twitter.com/pablico/status/414954769342427136
@EmmaZar22,"Halifax, Nova Scotia",,I don't even think I can make it through one more day of school  #christmasbreak,3:44 PM - 18 Dec 2013,0,5,3,https://www.twitter.com/EmmaZar22/status/413454676139732993
@nicwordsworth,UK,,Rewarded after the storm yesterday with this sunset  #seaside #whitstable #sunset #kentcoast #christmasbreak #brandguardian #branding #foodjudge #consultantpic.twitter.com/pFbRZJWcYh,5:21 AM - 2 Jan 2018,2,6,23,https://www.twitter.com/nicwordsworth/status/948182412042924033
@MariahAlexisW,,,"1 week down, 2 more to gooo
#ChristmasBreak",8:07 PM - 6 Dec 2013,0,5,8,https://www.twitter.com/MariahAlexisW/status/409172223631437824
@SheratonLHR,London Heathrow Airport,,"Park here, fly there! Take a look at our park and fly offers to streamline your next holiday.    #ChristmasBreak #SheratonHeathrow #ParkAndFlypic.twitter.com/QPVnfaTLyX",6:52 AM - 19 Nov 2019,0,0,1,https://www.twitter.com/SheratonLHR/status/1196803439717765123
@piphskra,,,can't we just start vacation now? #NotFeelinSchoolThisWeek #Senioritis #ChristmasBreak,5:17 PM - 16 Dec 2012,0,4,2,https://www.twitter.com/piphskra/status/280481687777996801
@Joelv40,,,Love being lazy and not doing anything productive #ChristmasBreak,9:21 AM - 15 Dec 2012,1,4,1,https://www.twitter.com/Joelv40/status/279999611991642114
@ColtonScott3434,,,I don't mind Sundays when we don't have school the next day #christmasbreak,9:29 AM - 23 Dec 2012,0,7,6,https://www.twitter.com/ColtonScott3434/status/282900664059850752
@taaaybaaae3,,,today was the best day ever<3 #christmasbreak #letsgo,1:30 PM - 21 Dec 2012,0,1,1,https://www.twitter.com/taaaybaaae3/status/282236563629424640
@KaitlynMariee96,"Minneapolis, MN",,"Last night, @CamilleSpringer, @RainaWatson, and I got drunk and played tag in our house by ourselves. #ChristmasBreak",12:20 PM - 20 Dec 2016,0,1,21,https://www.twitter.com/KaitlynMariee96/status/811305341866639360
