countries,0,1,2,3,4
Slovenia,Argentina,Morocco,Monaco,Ghana,Italy
Guam,Guam,Ecuador,Martinique,Bahrain,Bulgaria
Venezuela,Aruba,Philippines,Fiji,Anguilla,Bahamas
Malawi,Montenegro,Cambodia,Ukraine,Mexico,Oman
Greece,Mauritius,Japan,Bermuda,Thailand,Chile
Georgia,Suriname,Armenia,Bolivia,Italy,Iran
Ethiopia,Algeria,Czechia,Suriname,Armenia,Senegal
Kyrgyzstan,Zimbabwe,Madagascar,Argentina,Romania,Mozambique
Russia,Thailand,Israel,Myanmar,Panama,Malaysia
Japan,Colombia,Portugal,Australia,Chile,Germany
Gambia,Lithuania,Greece,Cyprus,Mauritius,Mozambique
Brunei,Scotland,Romania,Madagascar,Dominica,Iran
Italy,Georgia,Bolivia,Australia,Mozambique,Madagascar
Scotland,Madagascar,Romania,Brunei,Italy,Iran
Denmark,Luxembourg,Spain,Norway,Jordan,Guinea
Morocco,Japan,Portugal,Netherlands,Monaco,Cuba
Monaco,Morocco,Portugal,Kenya,Curacao,Japan
Jamaica,Reunion,Rwanda,Namibia,Finland,Denmark
Australia,Colombia,Japan,Chile,Italy,Czechia
Libya,Poland,Portugal,Vietnam,Iceland,Azerbaijan
Fiji,Aruba,Venezuela,Bahamas,Anguilla,Philippines
Uganda,Nepal,Laos,Senegal,Tanzania,Greenland
Honduras,Spain,Luxembourg,Greenland,Denmark,Guatemala
Tunisia,Belarus,Syria,Turkmenistan,Ukraine,Maldives
Armenia,Suriname,Georgia,Iran,Algeria,Ethiopia
Oman,Mexico,United Arab Emirates,Portugal,Israel,France
Slovakia,Macao,Slovakia,Grenada,Liechtenstein,Laos
Jersey,Zimbabwe,Morocco,Austria,Italy,Georgia
Lebanon,Azerbaijan,Rwanda,Croatia,Guinea,Taiwan
Turkey,Reunion,Macedonia,Jamaica,Qatar,Canada
Cambodia,Barbados,Seychelles,Malaysia,Thailand,Mauritius
Mexico,Israel,Portugal,Oman,Jordan,Norway
Ireland,Vietnam,Norway,Iceland,Chile,Colombia
Aruba,Anguilla,Philippines,Venezuela,Fiji,Bahamas
Iran,Armenia,Suriname,Algeria,Ethiopia,Georgia
Belgium,Jordan,Singapore,Croatia,Guinea,Germany
England,Singapore,Guinea,Taiwan,Netherlands,Belgium
Andorra,Macao,Slovakia,Grenada,Liechtenstein,Laos
Netherlands,Cuba,Croatia,Spain,Denmark,Portugal
Afghanistan,Poland,Portugal,Vietnam,Iceland,Azerbaijan
Hungary,Germany,France,Austria,Ghana,Pakistan
