user,location,geoLocation,tweet,timeStamp,replies,retweets,favorites,url
@valencia_travel,Cusco - Peru,,"“If somebody offers you an amazing opportunity but you are not sure you can do it, say yes – then learn how to do it later.”
Take advantage of our Black Friday, 7 Tours, 50% OFF 
Click here.
http://ow.ly/vwew50xnUy8 
#blackfriday #f4f #freevacation #vacation #travelperu #perupic.twitter.com/Ts9LvLRzfF",8:27 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/valencia_travel/status/1200451177810452480
@bestforluxury,"London, England",,#Travel #Flights #Hotel #Holidays #Getaway #Vacation #Weekend #Escape #Experiences: English Local Deal: Five Scottish castles tour from Private Tours Edinburgh for £313.50 - http://bitly.com/2q0sGQr pic.twitter.com/IyZifc1lFC,1:43 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/bestforluxury/status/1200349617688207360
@bestravel3,Worldwide!,,"Convenient Sports Stereo Wired Earphones http://www.bestravelbooking.com/product/convenient-sports-stereo-wired-earphones/ …
#travel|#adventure|#holiday|#vacationpic.twitter.com/CtQuZmygLR",7:46 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/bestravel3/status/1200440906492645376
@blogosum,,,"Travel #news: Malaysia Airlines expands UK team http://travelweekly.co.uk/articles/350949/malaysia-airlines-expands-uk-team …
#travel #news #vacation #trips #cruise #cruises #holiday #hotels #resorts #airport #flights #outdoor #travelnews #traveltip",1:31 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/blogosum/status/1200346655750574081
@Logalvezantoine,,,"Siempre habrán lugares inolvidables...
Recuerdo de mi #sanpedrodeatacama querido #termasdepurirama 
Que tengan lindo día 
#lorenagalvez #lorenagalvezantoine #loregalvez #vacation #chile https://www.instagram.com/p/B5csBwOADD6/?igshid=xg7mwgml4raz …",3:49 AM - 29 Nov 2019,2,0,20,https://www.twitter.com/Logalvezantoine/status/1200381259098312704
@PlutoniumDHair,,,"It's so cold. Take me somewhere warm with sand between my toes! #FBF #PlutoniumDiamondHair
#beautifulhairstyle #fabulous #luxury #glamour #sunshine #beaches #diamonds #ocean #curls #travel #traveldiaries #travelnoire #vacationhair #hair #locks #vacation #fun #hairofinstagrapic.twitter.com/pik5UUScpd",3:11 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/PlutoniumDHair/status/1200371586592890885
@SophiyAnjam,Good ol' Lahore,"İstanbul, Türkiye",Don't go chasing waterfalls they say but this one was too pretty to ignore  #Antalya #Turkey #Throwback #Memories #TBT #Trip #Travel #Holiday #Vacation #Journey #Youtube #Explore  #SophiyAnjam #RJSophie #Merhaba… https://www.instagram.com/p/B5cbzjJAZNk/?igshid=sj5rggltvlj1 …,1:27 AM - 29 Nov 2019,0,0,2,https://www.twitter.com/SophiyAnjam/status/1200345520138412033
@LiveYourDreamPA,Panama,,"Come see Panama from a different perspective! 
.
.
.
.
#travel #vacation #vacationrental #experience #panama #casasagapopanama #altosdelmariapanama #themountainsarecalling #liveyourdreampanama @ Altos del Maria https://www.instagram.com/p/B5c9XKsJnHR/?igshid=7roe4wnqb76m …",6:22 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/LiveYourDreamPA/status/1200419838113517570
@ghoomophiro,"New Delhi, Delhi",,"The Conversation with Princess Padmaja Rathore:

https://youtu.be/z8-u_GhLrdo 
#Jodhpur #travelstories #travel #adventure #explore #travelgram #trip #vacation #traveling #holiday #travelling #india #lonelyplanetindia #incredibleindia #ghoomophiro @my_rajasthan #rajasthan @prachimadripic.twitter.com/DUxKPGESLm",6:54 AM - 29 Nov 2019,0,0,1,https://www.twitter.com/ghoomophiro/status/1200427915646652416
@JoeyVegas106,Las Vegas,"Solvang, CA","My girls in Solvang. Time for some Dutch Baked goods! #vacation #solvang #family #thanksgiving @ Solvang, California https://www.instagram.com/p/B5dLGVzBws2/?igshid=7ggkjjbyw0xe …",8:20 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/JoeyVegas106/status/1200449523233050625
@vanderfullife,Home,,"Lake Flashback: Water meters, commission appointment, tourism promotion - Cowichan Valley Citizen https://www.cowichanvalleycitizen.com/community/lake-flashback-water-meters-commission-appointment-tourism-promotion/ … #news #today #travel #vacation #cruise #holidays #hotels #flights #tourist",4:47 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/vanderfullife/status/1200395764578557952
@gadabouttravel1,"Palos Hills, IL",,"Set sail with MSC Cruises on this great #BlackFriday Deal!

#GadaboutTravel #Travel #Vacation #Cruises #Cruisingpic.twitter.com/ok2CD8f6Pm",5:35 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/gadabouttravel1/status/1200407845788934144
@CasyTravel,Cape Town,,"Adjustable Nylon Luggage Straps https://www.casytravel.com/product/manjianghong-adjustable-nylon-luggage-straps-luggage-accessories-hanging-buckle-straps-suitcase-bag-straps/ …
#travel|#adventure|#holiday|#vacationpic.twitter.com/ZWhsO1klSi",4:34 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/CasyTravel/status/1200392598785011712
@blogosum,,,"Travel #news: Cirque du Soleil Announces New Attraction in Mexico https://www.travelpulse.com/news/entertainment/cirque-du-soleil-announces-new-attraction-in-mexico.html …
#travel #news #vacation #trips #cruise #cruises #holiday #hotels #resorts #airport #flights #outdoor #travelnews #traveltip",6:41 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/blogosum/status/1200424671725998086
@western_head,"Brian Head, Utah",,"Come explore Brian Head. Book now at http://bwpbrianheadhotel.com 
#winter
#snow
#ski
#vacation
#Christmaspic.twitter.com/izXdwr9XS6",2:03 AM - 29 Nov 2019,0,0,0,https://www.twitter.com/western_head/status/1200354704040980480
@airchoiceone,"Saint Louis, MO",,"It's Black Friday! Be safe and courteous when doing your holiday shopping! Remember Air Choice One tickets are always a great gift! 
#BlackFriday #AirChoiceOne #Gift #Tickets #Plane #Boarding #Fly #Trip #Vacation #Holidayspic.twitter.com/p8iRmMalL2",7:52 AM - 29 Nov 2019,0,0,1,https://www.twitter.com/airchoiceone/status/1200442314788888577
