user,location,tweet,timeStamp
@BridportMan,Bridport,"We'll be on Christmas break from December 16th to 29th this year.  Availability before Christmas 2019 is limited and we're already taking bookings for the new year.  So if you'd like to book a removal or delivery with us, don't delay!
#ManandVan #ChristmasBreak #NewYear2020pic.twitter.com/St3imyIb9H",5:54 AM - 27 Nov 2019
@HILeicesterCity,"Leicester, England","Plan your pre-Christmas break to Leicester now and save up to 20% off your stay with IHG’s cyber sale!  

Hurry, our offer ends soon…
https://bit.ly/2XR8Xzm 
#IHG #IHGCyberSale #ChristmasBreakpic.twitter.com/r0pjnWXQIr",8:08 AM - 27 Nov 2019
@afaranwide,,"Sunset over Phu Quoc, Vietnam.

Look out for our upcoming post about this perfect Christmas getaway destination.

#instagood #nofilter #picoftheday #afaranwide #photooftheday #vietnam #christmasbreak #wednesdayvibes https://ift.tt/37KtVnR pic.twitter.com/3Eh2MbwJso",2:41 AM - 27 Nov 2019
@Sarah___Mary,South Wales,When you realise you only have to survive one more day of work before being reunited with @leah_f7  #freindsreunited #christmasbreak #londonbound #catchuppic.twitter.com/QdNSSRxpvY,11:21 PM - 26 Nov 2019
@EduClickAfrica,"Centre, Cameroon",Our #Techlab offers affordable #excursion experience to high school students through #virtual #reality. #Christmasbreak #edtech #innovation4learning #VR #RT #learning #Yaounde #Cameroon #237Stempic.twitter.com/Fsbvw7R9xL,12:05 AM - 25 Nov 2019
@Hannah__Garnett,,"With #Christmasbreak fast approaching, how is everyone planning to spend it?",1:20 PM - 25 Nov 2019
@caitlined_,jaehyun. ♡,"Dayum Sephora Thailand, I’m coming for you!!! #ChristmasBreak",9:51 AM - 24 Nov 2019
@TopazStopBrexit,EU,"consulate or Embassy abroad 

Citizens of any EU country can use the consulate of any of the 28 members.If they are in trouble abroad...

... & their country doesn't have a consular service available

 #Christmas2019 #GE2019 #Christmasbreak #FBPEpic.twitter.com/nmNNxh352U",7:12 AM - 26 Nov 2019
@LDH784,Warwickshire,"Christmas week is available... it’s the most perfect place to escape to ; watch the waves crashing from the comfort of the sofa next to the fire,arrival hamper included, book
https://www.duchyholidays.co.uk/property/cornwall/perranporth/the-view/vie226 … or contact me on here for further details #perranporth #cornwall #christmasbreakpic.twitter.com/bmlfu71vF7",11:48 AM - 26 Nov 2019
@MrsAshDone,"Whitehaven, Memphis",3 weeks then out again!!! #ChristmasBreak,10:00 AM - 26 Nov 2019
