Unnamed: 0,Date,Username,User Location,Tweet
0,2019-08-31 23:46:49+00:00,MrsJaxon2004,"Maryland, USA","I’ll ask you again, can a sitting president be indicted? If he loses the election in 2020 he’ll be in handcuffs. You are right enough about your criminal President."
1,2019-08-31 23:45:26+00:00,worth_two,The World,Ted Cruz is feeling uneasy about 2020 election and presidents diminishing chances of re-election https://www.twocentsworth.net/articles/Ted_Cruz_is_feeling_uneasy_about_2020_election_and_president/2 …
2,2019-08-31 23:24:55+00:00,El_Daverino,"Texas, USA",TX Governor is not up for election until 2022. He can continue to run for President in for 2020
3,2019-08-31 23:04:34+00:00,444Cin444,Looking at your star,And that is the number one reason @POTUS won’t get any votes for his election everyone is voting independent. And I hope we have a new independent president in 2020 this one is corrupt https://twitter.com/charliekirk11/status/1167658987287793664 …
4,2019-08-31 23:02:01+00:00,clevelanddotcom,"Cleveland, Ohio","Any of the top five Democratic candidates running for president in 2020 would beat President Donald Trump if the election was held today, according to a new national poll from Quinnipiac University. https://trib.al/beRd0ws"
5,2019-08-31 22:49:37+00:00,nanychief,"Michigan, USA","THIS IS COMPLETE BS! WAITING UNTIL 2020 ELECTION IS WHAT'S GOING DOWN! THE COTUS WILL! ELECT @realDonaldTrump @POTUS 45 TO REMAIN THE GREATEST PRESIDENT TO LEAD THIS COUNTRY! IF THIS DOESN'T HAPPEN, IT WOULD ONLY BE THROUGH VOTER FRAUD! CIVIL WAR WILL HAPPEN#"
6,2019-08-31 22:48:20+00:00,Aidan34655890,"East Northport, NY","I think you a great president, good luck with the 2020 election I really hope you win it"
7,2019-08-31 22:34:04+00:00,DanielFRoche,"Cleveland, OH",Remember that it’s the President and his Cabinet up for election in 2020 https://twitter.com/politico/status/1167603178914926592 …
8,2019-08-31 22:32:07+00:00,ClaudiaRuff6,Follow me on Fb and Gab.ai,2020 Road To the White House the re election of the Grratest President in United States History. President Trump is our American Dream come true and we the people of the Usa. We will re- elect him so he can Keep Making America Great
9,2019-08-31 22:11:23+00:00,CYCYONE,"Rhode Island, USA","China called they said “We’ll wait until after the 2020 election when you lose to negotiate a deal, until then lose our number President Peach.”"
10,2019-08-31 21:58:49+00:00,maserik11,,"Trump faces more 2020 danger if Democrat scores upset in N. Carolina special election https://www.nbcnews.com/politics/politics-news/trump-faces-more-2020-danger-if-democrat-scores-upset-n-n1047226 … via @nbcnews And NBC just can't wait for the President to be ""dumped"" again, right? What a story! Fight on, Mr.President!"
11,2019-08-31 21:47:08+00:00,LMacLeodGoodman,,"How, Mr. President, when unpopular democrats w/ their eco-fascist platform intend to steal the 2020 election w/ 'fraction magic', illegal voters, disappeared ballots and a colluding media, while 'our' military silences free speech? https://www.thegatewaypundit.com/2019/08/us-military-to-crack-down-on-fake-news-and-conservative-content-online-before-2020-election/ …"
12,2019-08-31 21:22:09+00:00,muserebel,"🎬IF u RE , can d anything☄️💨💫","President Trump Addresses Abrupt Resignation Of Assistant Madeleine West... https://youtu.be/WnnuRQTuzYA Yeah, we still have til *Nov 3,2020 to do what we can to PREVENT&protect the Earth until the election. #EqualPayWomen #EqualRightsGay #StraightMenAlreadyHaveAllRights #PrtctEarth"
13,2019-08-31 21:19:17+00:00,TRUMP_2020_WINS,Over There!!!,Kind of Like Obama for his involvement in the coup to overthrow the Valid Election of a President!
14,2019-08-31 21:07:31+00:00,dmsn1316,"Goose Creek, SC","How Google plans to steal the 2020 election away from President Trump and hand it to the Democratic nominee, whoever it is https://rawconservativeopinions.com/2019/08/31/how-google-plans-to-steal-the-2020-election-away-from-president-trump-and-hand-it-to-the-democratic-nominee-whoever-it-is/ … via @Raw Conservative Opinions"
15,2019-08-31 21:06:33+00:00,BCMAmerica,United States,Our National Communications Director at the Trump 2020 Campaign Launch in Orlando. She wasn’t able to vote last election - but will cast her first ever vote for President Trump in 2020. What are your thoughts on Trump 2020? #Trump2020pic.twitter.com/z7pvPJXT9U
16,2019-08-31 21:03:38+00:00,PMall5,"Massachusetts, USA",If you win the nomination I would like to see you debate President Trump. That way I can see him destroy you in person. I would still like to know how you feel about Mass. Dems throwing an election to Scott Brown so you would have time to get some name recognition? Trump 2020
17,2019-08-31 20:59:40+00:00,BobsYourUncle30,"Ohio, USA","If we get President Trump in 2020, the landscape is going to look different. Not that the Democrats are going anywhere, but my bet is the economy and nation is going to be harder to beat. We’re still dealing with Clinton sour grape voters that won’t accept an election. #KAGA2020"
18,2019-08-31 20:52:36+00:00,ProudUSANJNY,,"Imagine when President Trump wins the 2020 Presidential Election. Watching MSNBC’s Lawrence O’Donnell lose his crazy little Liberal Mind, is going to be hilarious! https://twitter.com/elguapo64/status/1167901254044942336 …"
19,2019-08-31 20:34:30+00:00,Blacksmitheart,Donnies free range blood clot ,"The vindication will belong to the American people for ousting trump on or before the 2020 election. It's clearly the right thing to do. You don't want a president with trump's ethics. The American voter, the world, the universe."
20,2019-08-31 20:32:45+00:00,ChristianMirror,,"US President Donald Trump kicked off his re-election bid for the 2020 Presidential election with powerful prayer led by his spiritual advisor Paula White, who was among https://is.gd/Kwx2f1"
21,2019-08-31 20:14:34+00:00,DavidWDeCarlo,"Evanston, IL",We should be doing everything in our power to remove Trump from office — why put all our eggs in the 2020 election basket when the Founding Fathers also gave us impeachment to remove dangerous presidents? https://www.newyorker.com/news/daily-comment/another-look-at-impeachment-at-the-end-of-a-long-summer …
22,2019-08-31 20:07:16+00:00,AmerIntelReport,Colorado,Former FED Governor: Federal Reserve Should Tank The Economy To Hurt President Trump In 2020 Election Former New York Federal Reserve President Bill Dudley wrote an oped on Bloomberg saying that “the election itself falls within the . . . Read more here: http://arkansasgopwing.blogspot.com/2019/08/former-fed-governor-federal-reserve.html …
23,2019-08-31 20:02:34+00:00,WeAreUnidosUS,"Washington, DC","""Our community is under attack and these attacks are being instigated by the President of the United States and it is our responsibility to make sure that our community does not vote for him."" @PaolaMendoza emphasizes the necessity of our vote in the 2020 election at #UnidosUS19pic.twitter.com/Axoc3T1Lq1"
24,2019-08-31 19:50:13+00:00,TruBluDemocrat,"Cal, USA","It's not easy to remove a president.The process is meant to be difficult, according to the Constitution. Still, when a prez is guilty of crimes, it can be done: the House IS moving quickly on impeachment, & the 2020 election looks very grim for Trump. Everyone's on it. 'Sa B1tch."
25,2019-08-31 19:46:01+00:00,tommortl,,This year alone: -Democrats let 1 million illegal immigrants into the USA. -Democrats allowed China and Russia to interfere in our 2020 election by refusing to support our President and our farmers. This is why we need to reelect #Trump2020 and #VoteDemsOut
