product_name,product_review,similarity_score,user_rating,Sentiment Score
Beatification,"Batch pH1  Pours a bright, peachy, warm goldenrod. A nice head forms and immediately dies, leaving absolutely no foam. 4  Reminds me of Lost Abbey sours in the nose. Lots of tropical and stone fruits are apparent, possibly derived from the touch of acetobacter present in the ph1 barrel. Sweet, ripe, sun warmed fresh off the tree peaches, minimal phenolic funk. Beautiful. 5  Fresh ripe peaches, must cellar funk, citrus pith bitterness, tangy acetobacter. Age is detectable but this beer is amazing. Holding up well and just fantastic. 4.5  Nice full carbonation, does just fine here. 4  So lucky to be trying this. Really spectacular and worlds better than batch 001. A different beer than future batches, really something special. 5  Batch 002  Pours clear and bright golden, no head. 4  Smells dank and stanky. Marijuana, enteric funk, dirt, tangy nectarines. Incredibly tart, lactic sourness is ridiculous. Damp, musty wood and cellar-ness. 5  Earth, damp oak, lemons (juice and pith), so funky and so sour. This stuff is ridiculous. 4.5  Nice carbonation, leaves your mouth puckered, bone dry, and tannin'd. 4  Fantastic stuff. Really cool try it next to pH1. Way more sour and funky. One of the best American wilds out there. 5  Batch 003, reviewed 12/15/2008, 3 years before the rest of this vertical.  Appearance: It was simply beautiful. I poured it into an almost completely spherical goblet and it looked like a beautiful glowing orb reminiscent of the sun. The head quickly receded, but lasted long enough for me to get some great aroma. 4.5  Smell: Magnificent! Pure cheesy, barnyard, horse blanket funk. I was hoping the flavor would deliver like the scent did... 5  Taste: This was damn good. Super sour lemons initially, then that barnyard funk hits. It finishes with the flavor of a well aged ripe cheese. 5  Mouthfeel: My saliva glands exploded as it hit my mouth. You know when you drink a really gnarly lambic? Yeah, like that. It was crispy yet smooth. It burnt my chapped lips something fierce. Oh yeah. 4.5  Drinkability: I thought I wouldn't want a whole bottle, so I split it with my friend, but I could have sipped on this all night. It was great how the flavor developed as it warmed, and every sip was an explosion of flavor. It probably takes someone who has really acquired the taste of really wild sours to love this, but if you like this style and you get one of the 750ml bottles, keep it to yourself!  Overall, this was a real treat. I wish it was not so expensive, but I will have to get one or two more bottles. This jumped into my top 5 beers. Easily. 4.5  Batch 004. Thanks, Craig.  Pours clear and bright straw with a nice head which recedes into a thin film. 4.5  Smells lemony, funky, powdery, and citric. Smarties also make a guest appearance. 4.5  Lemony and sour at first sip. Musty, damp oak is prominent and lasts long into the finish. This is beatification alright. 4  Mouthfeel is great. Very full from dense carbonation. Light on the palate but not at all too effervescent. 4.5  Good stuff. Less complex and funky than it's predecessors, but I look forward to seeing what it does with age. 4.5",0.6693019178505646,5.0,0.9995
BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),"I promised not to review anything from Dark Lord Day. There was too much happening. This is my one exception. I had glass after glass because several people kept saying wow that it too hot for me here you want to finish mine. Oh my God what were they thinking. This was the most easy drinking whiskey I have ever had. It is certainly closer to bourbon than to beer. The beer seemed much higher than 13% ABV to me but the hot alcohol had the softness of a 10 - 20 year old bourbon. WOW! Everyone who has been to my house knows that Woodford Reserve is my favorite go-to Bourbon. I am not makin this up for the sake of this review. I always have it on hand. Wouldnt you know, the wonderful geniuses at Three Floyds that hand crafted this beer JUST FOR ME, picked my regular bourbon for aging this beer. Yes, This is Dark Lord, aged for a year in none other than Woodford Reserve Bourbon Barrels. Oh my God! I just about passed out this was so freaking good. I went week in the knees and I was not drunk.  Appearance: When I received this beer in a plastic cup there was no head on it. I poured it into my snifter glass and it stirred up very little head but in the glass it did showcase a nice tan head. Several times through drinking this beer various friend emptied there plastic cups into my snifter each time revitalizing a tiny bit of head in this otherwise murky black body.   Smell: Everything I love about bourbon and more flooded my nose. Rich scent of various woods, just like the Woodford Reserve I makes me think of my freshly moistened humidor. Dark roasted malts and barley, black coffer and thick bitter sweet chocolate and of course a wallop of vanilla oak bourbon flavors.  Taste: The biggest complaint people had on this hot day was the beer is too much like bourbon. If that is the biggest gripe, then gripe on my friends. I LOVE IT! This is absolutely everything I could ever want in a drink. It is the best of both world. It is what I love about two different drinks met in one glass. Yes the alcohol does not hide. So you sip the beer like you would any other liquor. It takes drinking it differently than a more typical beer but it is certainly worth it. The dark chocolate malts and fruits blend right into the woody vanilla oak and somehow it creates what feels like very layers of flavors and leaves your mouth with the feel of bourbon on the tongue and throat and face.  Mouthfeel: The swallow is very hot but the massive rich oily smooth feel coats every inch of your mouth and then some. I can feel the hot alcohol and warm boozy black grains making my face go numb as works its way from my tongue to my cheeks, my tonsils and up through my sinuses until my whole face seems to going flush enjoying the magnificence that this masterpiece exudes.   Drinkability: When I sit down with my favorite liquor I dont start just putting them back one after another. Drinkability is the duration for which I can enjoy that drink. I would take it slowly, but I could enjoy this dink all day long.  Hope this is helpful. Cheers!",0.5866006116901251,5.0,0.9994
Peche 'n Brett,"E: Beeswax coated pry-off crown cap. Purchased at a bodega in Brooklyn for a wallet-annihilating $40.00 USD. 1 pint 9.4 fl oz brown glass. Orange colourful label art. Bottle #20020. Best by 10/2020. ' 10% ABV. ""Oak aged organic ale brewed with peaches."" Brewed with peaches and brettanomyces. ""Final refermentation with pear juice.""  Expectations are extremely high given my love for the brewery and this beer's presence on the top 250 beers list.  HEAD: ~3 fingers worth of white head. Frothy, creamy, gorgeously soft, and of great complexion. Consistency is terrific. Retention is excellent - ~8+ minutes.  BODY: Pale murky orange of okay vibrance. I see no yeast or sediment within, but it definitely appears unfiltered.  Appears well-carbonated. It's a nice looking beer and captures the lively unfiltered look of a great saison, but I can't say the vibrance of the body colour is on par with that of the best expressions of the style.  AROMA: Soft orchard peaches, orange sherbert, soft juicy pear, creamy notes, pale malts. The soft luscious peach is impeccable, elevating this aroma easily to world class level. Promises a juicy peachy genuine brew with absurd depth and expressiveness of flavour.  Any oak is too subdued to be noticeable. Sweetness/bitterness balance seems perfect. Nectary juicy goodness is the highlight of this aroma; I'm salivating just awaiting the first sip.  Aromatic intensity is perfect (mild to moderate).  No overt hop notes; maybe some seamless fruity tones. Yeast character has an incredibly subtle funky bend without distracting. As soft and delicate an aroma as they come.  No off-notes or overt alcohol.  TASTE & TEXTURE: Creamy soft peach, smacky lactic tartness (was the brettanomyces used lambicus? This is straight-up sour), evocative expressive orchard peach, soft juicy luscious pear, subtle yeasty dryness (bringing just enough to coax more depth of flavour out of this brew without making it drag on the palate), and creamy peach sherbert.  Hides its 10% ABV angelically well, hiding any alcohol beneath layers of billowing softness. Couldn't be more delicate or gentle on the palate. Perfectly smacky on the palate, making the slight tart sourness sing. Comfortingly soft. This mouthfeel may be perfect; rarely do I encounter such harmony of softness, fragility, and body. It's so light it's insanely drinkable, it's aptly smooth and wet, and carbonation is perfect.  Malt backbone melts into the dominant fruity tones, letting them take the spotlight. This is as gestalt a flavour profile as I've ever encountered, blending every constituent note together in a layered cohesive way, elevating the whole above the sum of its parts. The peach sings.   Noticeable acidity.  Sourness is maybe a 4/10, which is ideal for a saison in my view. It lacks any drying funkiness, and there aren't too many fruity esters mucking with the fruity focus of the brew. Balance is perfect. Depth of flavour is excellent. Duration of flavour is high for the style. Intensity of flavour is moderate. I can't get enough of this stuff.  OVERALL: Logsdon outdoes themselves with this stellar brew. This is possibly the best saison I've had from any brewery in North America, and I can't vet its quality enough. It's earned its position on the current top 250 list, and I'd heartily recommend it to any discerning drinker - even at its seemingly obscene $40/bottle price. When I think of true perfection in terms of texture, this beer will be amongst the first to pop into my head. Its juicy softness accentuates the peach emphasis of the brew beautifully. Awingly good - ineffably so. Just fuckingly delicious. I find myself inhaling this and simultaneously being shocked by its 10% - how is this so effortlessly drinkable at that high an ABV?  Nitpicky as I am with great beers, I have to admit I struggle to find many issues with this aside from petty things like appearance. At a certain point, excellence becomes undeniable.  This is what we talk about when we talk about beer as art.  Low A+ (4.71) / MUST TRY (WORLD CLASS)  *** 07.26.17 2nd impressions from a batch # 27857 bottle:  Less sour/tart than the last bottle I tried. A little less balanced, with too much sweetness.  B / GOOD",0.7367550800487678,4.75,0.9994
Sure Bet,"Currently #175 in the Top 250 beers list and #5 in the Top Illinois state beers list.  BOTTLE: Purchased at a Trader Joe's in Chicago, IL for $9.99 USD plus tax. 22 fl oz bomber format. Brown glass. Branded red pry-off crown cap. In true Pipeworks tradition, the label art/design is loud and colourful. No bottle date.  9.50% ABV. ""Imperial India Pale Ale brewed with honey and mango puree."" ""Citra and Mosaic hopped IIPA."" ""Unfiltered.""  Served cold.  HEAD: ~3cm in height. Off-white colour. Average frothiness and creaminess. Consistency is fairly soft but could be more robust. Good retention for its high ABV - ~4 minutes (fairly impressive at 9.50% ABV). No lacing adheres to the sides of the glass as the head recedes.  BODY: This is unfiltered? I wouldn't guess to look at it...it's as clear as can be; I can read the bottle label through the beer. Golden copper of average to above average vibrance. Clean, lacking any visible yeast/lees, sediment, or haziness.  Appears well-carbonated. Not unique or special for an Imperial IPA in terms of appearance, but certainly well within style conventions and generally enticing.  AROMA: The honeyed malt sweetness plays brilliantly alongside the vibrant blueberry from the Mosaic hops and the tropical citrusy vibe of the Citra. Mango I had to look for, if only because Citra and Mosaic bring so much other tropical fruit to the table...tangerine, orange, mandarin orange, maybe some guava. Has some nectary and floral aromatics as well.  Hop pungency could be better, but the honey and mango puree sweetness along with pale malts help cover any booziness in addition to muting the hops. It has a warmth to it, but no overt booze.  Fruity ale yeast esters blend in to the fruity hop aromatics seamlessly.  I find no off-notes.  Suggests a balanced and enjoyable imperial IPA with an interesting hop profile and nice honey sweetness but limited depth of flavour. The use of honey adjunct invites comparisons to Bell's Hopslam, and from what I recall I prefer the aroma of that beer. Still, I'm eager to give this a go.  TASTE & TEXTURE: Soft, full-bodied, somewhat thick, smooth, wet, not unrefreshing...frankly I expected a much boozier mouthfeel given its 9.50% ABV. This might be dangerous.  Nectary and a bit juicy, accentuating the tropical fruit nicely. Tangerine, mango, passionfruit, guava, mandarin orange. The Mosaic character is less the subtle blueberry I usually love from that hop and more the vague tropical fruit vibe that you can coax out of many new world hops...why use Mosaic if you're not going to commit to what makes it unique?  Sweetness isn't too much, which is always a risk in a honey adjunct imperial IPA (especially one also brewed with mango puree). The additional sources of sugar haven't harmed the beer's perceived sweetness or attenuation; this is a dialed-in brew even if it could use more expressiveness and pungency in terms of hop flavour. The constituent hop notes aren't as vivid or pronounced as one would expect in a truly world class expression of the style, but the beer's balance is pretty impressive in spite of its relative shallowness.  Not oily, gushed, hot, boozy, astringent, harsh, rough, or scratchy, though there is a bit of alcohol warmth that isn't unpleasant.  Well built for the style, no doubt. Flavour duration is above average. Flavour intensity is average.  Well-carbonated.  OVERALL: More drinkable than it has any right to be at 9.50% ABV, Sure Bet is true to its title, delivering plenty of interesting hop flavour, a healthy alcohol wallop, and impressive balance. In terms of imperial IPAs brewed with honey, I'd much sooner take Bell's Hopslam, which is not only better but less expensive. I'd like to see Pipeworks ditch the cash-grab bomber format and put this out in 4 packs for the same price; otherwise, I doubt I'd buy it again in spite of its obvious quality. It's hard to go wrong with Citra and Mosaic, but the popularity of those hops (particularly of late) has resulted in many breweries coaxing more of their nuanced flavour out of them than Pipeworks has managed to with this ale. Indeed, the ""Sure Bet"" in Sure Bet may well be its hop combination.  I'll enjoy polishing off the bottle, but as tasty as it is I can't say it's one of the best 250 beers worldwide, even if it is one of the better expressions of the style I've had from an Illinois brewery. More solid work from Pipeworks, and absolutely well worth trying if you can stomach its ~50c/oz price. That said, most discerning drinkers are better off saving their hard-earned money for something like Hopslam.  High B (3.71) / GOOD",0.7064664034295508,4.0,0.9993
Oude Geuze Vintage,"Presentation: Managed to snaffle two bottles of this; one was a present from my good friend BA RichLightWeight, but I also managed to buy a further bottle at Quinns in London NW1 (see BeerFly). 37,5cl green glass bottle with dimpled base. Sealed with a thumbed cork which is retained by a black metal cap and cage. All this is wrapped in black foil around the top 3 of the bottles neck. Light yellow colored main label with the generic 3 Fonteinen logo on it. Labeled as Oude Geuze with the word Vintage in white text set against a brown background below. Large date on the side of the label 07 / 03 / 2002. Listed at Alc. 6% Vol.  Appearance: Golden orange, slightly turbid at first but it soon clears to reveal a crystal clean body. Gueuze like frothy head races high with a gentle audible fizz as it settles down. The head has excellent retention, the carbonation is medium in strength but the long term resilience of the conditioning is very high, it pumps out a constant forceful rising set of streamers right until the last drop. Superb presentation, there is nothing wrong with this one.  Nose: Classic Drie Fonteinen nose with a simply orgasmic Gueuze nose. Dry acerbic nose has a soft farmyard heritage but this is punctuated with dry white grape skins and some cold tannin. Earthy tones with damp oak, sharp acetic tangents and a full body in the nostrils. Utterly charming stuff, has a biting nose at first but it also has a mature rounded edge to it. Perfect.  Taste: This Gueuze has a superb balance to it, this is what strikes me right from the off!! Gorgeous astringency pulls at the cheeks as the base lambics add to the experience, this is all lambic here! Soft yet sharp, dry yet wheaty, the beginning complements the finish and entices you to start all over again. High rise dryness in the finish could be too much for some, the sour grapefruit and grape skins add fruit to this anhydric experience and balance it nicely though. I find this characteristic to be a distinctive trademark finish in the older Oude Gueuze of Drie Fonteinen and very attractive. Incredible stuff, all the hard work has been done for the Imbiber, good to go right now but I bet this one will get even better with a few more years under its belt.  Mouthfeel: Bold feel with a big body. The intense carbonation feels like it shot blasts the cheeks, as this tingling rescinds the flavors fill the void, but after the swallow the finish is pure ball-clenching dryness that pulls the cheeks in, but it is not over the top as in some younger examples, this one has a defined mature dryness. Quality stuff.  Drinkability: Im a huge fan of Gueuze so it is no surprise that this small 375ml bottle was drained bone dry in no time. A very refreshing Gueuze it complemented the hot 4th July here in Long Bach with little effort. Lovers of Armand Debelders dry yet grapefruit grape skin filled creations will surely love this one.   Overall: Superb!! A terrifically balanced and weathered Oude Gueuze that shows why stashing fresh samples away can be such a reward. Guess I will not see this one again, shame, I wish I had picked up more now! Thanks to my good mate BA RichLightWeight for the gift of this, and pointing me towards picking up another.  Highly Recommended.",0.6887400518721596,5.0,0.9992
Oude Geuze Vintage,"2002 red label wale edition consumed Oct 2010.  Pours a half finger of white head. Color is a cloudy golden orange with a lot of active carbonation.  Aroma: A big amount of funk to this one. Oak and sour fruits. Lemon citrus again, which I find common in the 3F gueuzes. Horseblanket and straw. Some sourness to this one.  Taste: I think I like this one better than Millennium, but it has a light medicinal flavor to it and is a bit drier. A nice dried fruit profile. Apples and pears. Lemon zest and acidity again. It is funky and has a basement musk to it.  Mouthfeel: Fizzy in a good way, sour, and tart. Light to medium bodied with a bit higher amount of carbonation. Ends really dry.  Overall, a really nice beer. Reminded me of Millennium, but it had its differences. It was fizzy and I actually didn't mind it. A very nice beer that shows age, but still is awesome. Very drinkable. _____________________________  Dec 27, 2007 regular non wale red label edition. Consumed Dec 2016.  White head. Golden orange color.  Funky, grapefruit citrus. Light mineral notes. Hints of acidity. Wet horseblanket and oak.  Very enjoyable. Nice feel. Soft and clean. ______________________________________________  07/03/2003 vintage consumed 3/2017  Little white head. Golden color with a copper hue.  Awesome 3f funk, light sweetness, citrusty with lemon showing. Mineral flavors with some earthiness. Light cereal grain. So balanced, so smooth. Ends a little dry, but very clean. Green apple skins in the finish as well.  A great vintage. So much flavor here and hardly sour at all. So incredible. 4.75 ________________________________________ 09/04/2005 consumed 3/2017  White head. Golden orange color.   Dry white wine flavors. Pear and green apples. Lots of funk, but very fruity and earthy. Typical 3F mineral notes.  Very clean, a bit dry. Nice carbonation.  2003 is a bit above this, but not far ahead. A very nice vintage. 4.6 ___________________ 08/03/2010 consumed 7/2017  Nice pop. Thick white head. Dark sunburnt orange.  This one is very bright. Lots of lemon/citrus notes. A lot of fruit. White grape notes. Herbal notes. Some honey like sweetness. Lots of 3F funk and mineral notes. Wet basement and oak. This is a very nice vintage. Very impressed with this one. 4.65 _______________________________________________________________ OGV 2012, no label. Bottle at lambic-o-droom. Consumed 7/2017  White head. Golden orange color.   Lots of great 3f funk. Lemon, funk, wet oak, barnyard. Very nice feel. Very straightforward ogv. I like this and it was quality, but it wasn't out of the ordinary compared to some of the other OGVs. Still, amazing which seems contradicting to the prior statement.  ____ 10/3/08 Consumed 7/2017  White head. Very lively. Nice pop. Golden orange color.  3f funk and mineral notes up front. Lemon citrus. Wet oak. So much funk. Wet basmenet. Similar to the 2012 but more flavor and more funk. Very enjoyable. 4.6 ________ Pen marked label at 4:20. Likely 13.4.2002 bottle date. 75 cL  Huge pop and the cork flew out. Gusher for a moment. White head. Dark burnt golden orange color. Amazing 3f funk and mineral notes here. Dry. White wine and tannin notes. A touch of stone fruit. Earthiness and wet basement. The funk here is great. Very, enjoyable bottle. 4.7 _________ 14/02/2007 synthetic cork nightshifts label. No pop. Pours still. Dusty wet cardboard nose and it follows in the taste. The worst 3f bottle I’ve had. Nearly undrinkable. Some caramel malts. Some sourness. Very flat. Very bland. Terrible. I flipped the coin and it landed on the wrong side. 1.0 _____________ 2014 “70% 3F” OGV at LoD. Unlabeled bottle. Consumed 4/2018  Lots of carbonation. White head with lace. Burnt golden orange color. Classic 3f funk and mineral notes up front. Very dry and bubbly. Wet hay and funk. White wine notes. Very complex. I think this will age well. 4.5 _____ 23-2-12 consumed 12/18 White head. Golden orange color. Earthy, minerals, funky, and fruity. Stone fruit and citrus. 4.55 ___ 2004 Mag at LoG. White head. Dark burnt golden orange.  Citrus and orange fruits. Caramel malt, think faro. Lots of 3f minerals. Wet horse blanket and funk. Minimal tartness. Very complex and enjoyable. 4.65",0.6780846136600908,4.75,0.9992
Madagascar,"Poured from the bottle into a large snifter glass. Vintage 2015.  Deep walnut brown body with a hint of clarity around the edges. Small basic tan head, with little retention and can't quite make a finger. Settles to a creamy but even bubbles collar, and a little bit of lacing.  Aroma is quite impressive. Huge thick chocolate notes, and Duncan Hines cake batter. There's a hint of coffee roast in here, a bit of char as well as the roast character really pipes out just a little bit as well. Extremely impressive nose, with a bit of powder cocoa mixing in as well. Like a warm inviting bakers chocolate cake even with the matching icing, and a small cup of coffee. Very impressive.  One word. Wow. Where do I start? For a brew that seems to be fairly straightforward this is incredibly diverse on the palate. Thick rich and balanced, the light bodied quality opens up tremendously on first sip. Coffee light acid then a thick mixing cake like milk chocolate and vanilla sweetness fills the palate. Blasting char roast on the finish, and even in the mid palate as well, with some great amounts of dry roast porter like tones, and coffee bean grinds. Nice wonderful toned lactose sweetness with cream and vanilla complimenting perfectly, each of these roast, dry, sweet, and chocolate notes are just all paired together wonderfully. Aftertaste takes more of the sweetness away perfectly, almost cigar breath and coffee like quality. Oaky whiskey notes really seem to have just sat in the dust and given all their power to the other elements in sweetness and vanilla. There's no booze on this whatsoever either.  This doesn't even taste like a milk stout, and it's absolutely flooring. Drinks so incredibly easily, a great creation.",0.6962347245417412,5.0,0.9992
Expedition Stout - Bourbon Barrel-Aged,"Vintage 2018-  drank at fridge temp; drank to room temp.  Appearance- dark black body. Dark brown head. head pours a full 1 fingers tall. Great head retention. finally drops down to thick cap. Thick lacing on the glass after each sip.  Smell: Hefty vanilla & top shelf bourbon intertwined with musty / mature oak. Fudge and Umami. Roasted malt & a hint of oatmeal.   Taste: Perfect balance of sweet, rich, and roasty. Huge vanilla almost like marshmallows; perfectly dialed in vanilla flavor. Top shelf bourbon. Assertive roasted malt in the best possible way. Sophisticated oak barrel character; musty, oaky, charred, and deep; complexity goes on for days & days. Hint of tobacco & leather. Perfect blending of dark chocolate and fudge flavors. I don't honestly know how this could be much better.   Mouthfeel: full body. low carbonation that is dialed into where it needs to be almost to the point of perfection. Very, very smooth barrel aged stout. Not a hint of booze.   Overall: This is rich stout barrel juice! Holy Shit! The 2017 vintage of barrel aged Expedition Stout was very good, but the 2018 vintage is near flawless. It is going to be hard to cellar this beer. It drinks perfectly right now. This beer makes me happy because it is like rediscovering bourbon county from the 12oz format all over again, except this time the discerning palate knows just how incredible this beer really is! Bells hit a grand slam home run with 2018 BBA Expedition. This is easily the finest bourbon barrel aged stout without adjuncts that I have drank from a 4 pack / 12oz bottle format. It easily blows away all the best 12oz vintages of regular Bourbon County Stout. I haven't had a barrel aged stout blow me away like this since 2009 bourbon county brand stout & I think this is miles ahead of that vintage of Bourbon County. Bells brewery, take my money until I am completely flat broke. This is the perfect storm of extremely high quality bourbon barrel aged stout in the proper format (4pk of 12oz bottles). I will impulse buy this beer all day long without hesitation.   Vintage 2017-  Appearance: dark black body. Dark brown head. head pours a full 3 fingers tall. Great head retention. finally drops down to thick cap.  Smell: Heavy oak char. Sweet and rich bourbon; stronger notes of caramel, vanilla, and tobacco with a hinting of coconut. Very roasty malt profile.   Taste: Its got that big roasted malt character of Expedition stout first. Then you get a nice balance from aggressive bourbon barrel notes. Charred oak, earthy oak barrel, smoke, leather, caramel, and vanilla. As you sip the beer melds together midpalate and into the finish. You start to taste dark fruits and a hint of black licorice that evolve as your palate gets used to the huge roasted malt with big barrel notes. A lightly spicy whiskey sting and tobacco/molasses/leather combo round out the finish with a lightly bitter roast presence.   Mouthfeel: This is on the higher end of medium bodied beer which gets close to full bodied, but its not quite motor oil thick. Low carbonation that is perfectly dialed in. The body of this barrel aged stout is impressively creamy. Which really enhances your experience of this beer and improves the overall effect.   Overall: The battle of robust and roast stout VS. very aggressive and flavorful barrel notes. I think the malt profile of expedition is the beast that still dominates as the strongest flavor in this beer. The in your face barrel aging is quite nice as well. This is the more edgy version of black note. Its really hard to say if I enjoy black note or barrel aged expedition stout more. One thing is for sure that Bells makes two great barrel aged beers in the 12oz format which is very nice. I will enjoy following both these barrel aged stout offering from Bells as long as they will sell it. They are both two of Michigan's ""finer"" barrel aged stout offerings in the state.   Summary:  vintage 2018- Overall Score: 4.84  vintage 2017-  Overall score : 4.53  vintage 2016- Overall score: 4.31",0.6727593459670992,4.75,0.9992
Peche 'n Brett,"Thanks to anadune for this one, super high up there on my ""wants"" list, glad to finally see this one go. I love peaches and I love Brett, so this beer should do me well. Pours a brilliant sunburst color with hints of golden-peach flowing about. Cloudy and opaque for the most part with a foamy white head that has decent retention.  Whoof! Talk about funk! The aroma hits hard, right out of the gate, and doesn't let up. Copious amounts of Brett just unleash and unload on the senses - barnyard funk, damp cellar, and wet hay. And then, of course, the peaches! There's a vibrant peach presence that underlines the funky body of the beer - it's sweet, juicy, and authentic, and perhaps most importantly - it's not overdone at all. Rather than control or overtake the aroma, the peaches just accent it, and inject their juicy goodness in a moderate but noticeable amount, a nearly perfect complement to the barnyard funk. Sweet and funky all at once - how can you not love that? The oak can be found once you ""search"" for it, and once you find it, it doesn't go away. Beautiful woody tones round out this excellently aromatic profile. Exquisite.  I couldn't have been more excited to finally bring this one to my lips... as soon as it hits my palate, the funk just plants itself in my mouth and never lets go. This bitch is SUPER funky; tons of barnyard, horsey sweat, musty earth, cheesy-funk... Absolutely crazy. The oak makes a big comeback and tastes much more robust than it smelled - works perfectly with the insane amounts of Brett that are going wild right now. And then again - just like an epiphany similar to the aroma - the peaches just squeeze their way in, quietly and unobtrusively, adding just the right amount of presence and flavor. Seriously, they could not have been added to this beer in a more perfect amount. Enough to tame the Brett and keep your taste buds working, but not enough to overpower and turn this thing into a peach cobbler.  I wouldn't necessarily describe this beer as ""sour"", but there certainly is a light tartness that hits you initially with the onslaught of Brett. By the time the peaches take the forefront, the tartness will have faded and the beer takes on a lovely sweetness that nicely combines with (and is probably aided by) the peach flavors. My friend and I were surprised to find out this beer was clocking in at 10% ABV - there's just no possible way that much alcohol can be masked so well. Honestly, this drinks just as easily as the Cantillon and Drie Fonteinen gueuzes we had previously, and those contain nearly half the alcohol. Peche n' Brett has a medium body; sharp, slick, and wet mouth feel with a medium-high amount of carbonation.  Wow, what a truly unique and amazing beer. Perfect amount of peaches and a nice compliment to their wonderful Brett profile. I thought this one was a huge improvement over the Seizoen Bretta (although that was still very good). Took me by surprise, but I hope I'll have the chance to enjoy this one again. Top notch.",0.6623930154398531,4.75,0.9992
Beatification,"375ml, batch 005 (bottled 1/10/2012), poured into a Russian River stemmed snifter today- proper glassware-, 9/2/2013. Thanks to Brian for throwing this in as an extra. Best extra I've ever gotten. Review #179.  This beer pours a beautiful clear golden straw body, same colour as the label, with a 1cm white frothy head that persists for a very long time. Its a very pretty looking beer, typical of Russian River. In fact, this reminds me of Sanctification.  The scent is basically straight up sourness. Lemon acidity. Smelling this beer- its so damn sour that my teeth starts getting eaten away, and I haven't even put this beer in my mouth yet. It is so acidic, vinegary sour that it burns the hell out of my Cranial Nerve 1 (the nerve responsible for our sense of smell). There is a nice woody, brett funky presence underlying this beer too. This is literally the sourest smelling beer I've ever had.. but deliciously so- there is nothing off-putting about this nose at all.  And man, this beer strips the enamel off my teeth. This is so damn sour. Even more sour than sucking on a ripe lemon. So mouthpuckeringly sour, it burns the hell out of my palate. We had Blind Pig, Pliny the Elder, etc. that same night, and you would think our palate is destroyed. But I can still taste the sourness on the back of my palate, like 5 beers later. So sour, its amazing. It's got a good bit of zesty citrus sweetness that somehow balances out the sour so that it's not unpleasant at all. I don't know how Russian River does it, but they somehow made a beer that is way more sour than even highly concentrated vinegar yet is so pleasurable to drink.   The mouthfeel on this is basically a medium bodied blonde with awesome carbonation and the most damn sour aftertaste. Its like my palate got stung the heck out of it, so now its expressing a permanent sour burn here. I get tons of heart burn from this beer... its so damn sour, its perfect. The only note here is that a mere 375ml bottle is going to be pretty tough to take down on your own.  This is the most sour beer I've ever had. I can't imagine it being any more sour. I thought Sanctification and Sour in the Rye were the sourest beers that I've had, but this one far outstrips them. Its such an amazing beer, perfect for sharing with 1 friend. And that friend had better be a good one! Highly recommend. Nice job Russian River, this beer is worth everything anyone would ever give up for it. Thanks again Brian, for extra'ing me an amazing beer.  Re-review: 375ml bottle of batch 006, bottled in 9/13/2013, opened today, 2/13/2014 at Voodoo Brewery. Poured into a Voodoo snifter. 5 months old. In contrast to the 19 month old batch 005, this one is a lot more complex and slightly less sour. More lemon, citrus, oak, white pepper in the nose as well as on the palate. Acidity is still there, at 7/10 while batch 005 was more of a 9/10. Just enough to make this incredibly mouthpuckering but without overcoming all the different complexities in the flavour. Highly recommend drinking fresh within a year for the full bouquet of flavours to enjoy.  Re-re-review, but not quite: 375ml genie bottle of PH1, served in a snifter glass 9/6/2015. Pours a darker, hazy orange body, a slight straw-pink hue, one finger white head with good retention, dropping into a medium collar. No lacing. Smells of orange zest, lemon, a lot of oak, funk, minerals. Gueuze-like in many ways. Significantly restrained acidity compared to fresher batches, more of the citrus. Flavour is very complex; more so than fresh Beat. Oak, funk, cobwebs, lemon, citrus, mild orange peel. Very clean and refined, yet still aggressive enough to provide that ""wow"" moment. It's done very well with time. Mouthfeel is medium bodied, softer carbonation, reasonably mouthpuckering oaky finish, clean. Overall- this is extremely tasty for such an old bottle. This batch of Beatification has done quite well and has added more complexity with time.  Yet another batch-related review- 375ml bottle of batch 007 bottled 3/25/2015; poured in a Russian River goblet glass on 11/14/2015. Pours a slightly hazy straw yellow body, hues of gold, fluffy one finger white head with nice retention, not much lacing. Eventually goes still as it always does. Smells of oak, an intense cobweb mustiness, a ton of acetic acid, lemon, a bit of earth. It's very acidic smelling fresh. The palate is similarly acetic, with a nice lemony bite, classic Beatification right there. Oak as well, cobwebs. It's not as funky as its Belgian counterparts, but apparently that comes with time (per PH1, anyway). Mouthfeel is there, medium bodied, good carbonation, refreshingly sour but with a slightly astringent orange peel that is a bit more astringent than in batches past. Might need some time to round out the edges; perhaps that's why Vinnie held back this release for so long. That being said, it's now drinking as well as it should be!",0.6731600381528431,4.75,0.9991
