product_name,product_review,user_rating,similarity_score,Sentiment Score
Lou Pepe - Framboise,"2008 vintage purchased in Brussels from Bier Tempel.  Had to uncork with a bottle opener, but not due to a lack of pressure—the huge thunk as it opened almost perforated my eardrums.  Looks red, bright and very pleasant. Head foams up at the beginning, but then fizzed itself out so that only a thin ring of fine bubbling remains. Carbonation is gorgeously fine. Looks a great fruit lambic.  Nose is wonderfully and genuinely raspberry fresh. Plenty of tart fruit, a hint of sweetness and lots of genuine lambic acidity to give its basis. The fragrance of the fruit is very true and really lovely.  Taste has that classic Cantillon acidity: raw, cutting and tart, but the sweetness and fragrance of the raspberries gives a truly wonderful counterbalance. Still acidic and with a slightly strained bitterness on the finish, but everything else restrains and leavens it beautifully. Yes. This is a wonderful balance for a fruit lambic. Restrained, truly fragrantly fruity, balanced, but still raw and aggressive.  Yes, lovely. The fruit is just right in this one, and the Cantillon acidity is slightly more restrained. Gorgeous.",4.5,0.7947137041704799,0.9984
Abner,"brew was poured from a refillable 750mL Hill Farmstead bottle, filled at the brewery growler-style, into our Founders snifters. It glows a coppery golden orange, putting up a two finger head of creamy off white bubbles. This shows nice retention, leaving thick honeycombed lacing around our glasses. A definite haze cuts clarity, but no sediment is noted. Carbonation appears to be moderate. The nose is richly citric and resiny of hops, with pale and lightly metallic toast of grain, fresh apricot, pineapple, and nectarine fruitiness, and a floral honeysuckle air blowing across the top of it. With warmth the aromatics really start to flourish, giving enhanced hoppy bite and sweetness of grapefruity, floral, and softly earthy varietals, mineral-laden well water, mud, black pepper booziness, muscat grapes, graham cracker breadiness, fresh mint leaf, blackboard chalk, and fresh peppery vegetals. Our first impression is that the flavoring gives extraordinarily juicy and fruity hops, but with nice balancing bite from the harder water and zing of grain. As we sip, the taste begins with a strong interplay between starkly, but authentically, sweet nectarine, tangerine, and pineapple syrups, and the dominant power of grapefruit rind, hop, and stem. These are met and balanced by a menagerie of raw honey, white grape sweetness, sulfuric mineral, lemon rind, herbal and earthy leafiness, cooling vanillas, lactic creaminess, metallic yeast juiciness, and solidly pale grain. The middle comes to a peak with lemon and grapefruity hops, herbal and spicy malt undertones, ethanol, gravel, mineral water hardness, mango fruitiness, and floral clover sugars. The finish is awash with pale graininess, effectively cutting the hoppy onslaught, along with newspaper inkiness, bright yeastiness, chalk and graphite, shitake meatiness, mango, strawberry, and pineapple fruitiness, and sweet booziness, with more of an herbal hoppiness shining through the ashes of the former grapefruit gods. The aftertaste breathes bitterly of grapefruity rind, seed, and juice, sweetly of nectarine and white sugars, pale grain, ghostly wheat, gravel, distant bubblegum esters, planty sap and resins, bittering moss and musk, light amber maltiness, and sea saltiness. The body is medium to full, and carbonation is medium to high. Each sip gives beautifully soft and creamy slurp, smack, froth, and glug. Finishing pop is nice and long. The mouth is left cooled and wetly coated, with eventually mild tannic astringency across the palate, and moderately robust pucker. The abv is appropriate, and the beer drinks incredibly well.  Overall, what we enjoyed most about this beer was its flavoring. While the nose gives a strong, balanced, juicy rendition of the liquid to come, the ultimate taste is astonishing from that first sip. The hops remain dripping wet, sweet, and juicy, but take on a curiously strong bitterness of grapefruity rind and citrics. The yeast works its way in giving bitterness, along with that harder well water that is so apparent, but seamlessly inclusive. The feel on the sip gives just about all you could ask for, with frothy brushes of creaminess and enough pucker to wake you up. This is a must have from Hill Farmstead, and well deserved of the reputation it has thus far attained.",4.5,0.7972832617613875,0.998
Atrial Rubicite,"500ml bottle, blend 3 (November, 2013), poured into a Jester King wine glass.   The beer pours a deep raspberry red color, hues of pink and purple with strong garnet tones. The beer itself is quite hazy, opaque with a few noticeable bits of sediment floating in the glass and a nice pink colored head, loose and fizzy that vanishes quickly and leaves no lace or film behind. The aroma is great, lots of fresh, juicy raspberry, tart and tangy, with some musty yeast, light oak, lemon citrus and a bit of other sweetened and ripe fruit. The flavors are spot on, huge amounts of raspberry, strawberry, light oak quality, the sourness is very acetic while the fruit flavors read more tart. There is a good amount of citrus quality as well as the bretty flavor present, but this beer is all about the raspberry. It's simple, but delicate, beautiful and super fresh, the raspberry is showcased extremely well and the balance between the fresh fruit and acetic sour character is wonderful. The mouthfeel is lively, crisp carbonation, lots of bubbles, that coats the mouth well, and finishes with a gentle touch with only a few prickly bubbles as it goes down.  Verdict: A tremendous effort from Jester King and easily one of the most impressive American Wild Ales I've tried to date. It's fresh, vibrant, delicate and bright and very quaffable. The balance is great, not overly sour, not overly sweet, not overly fruit centric, everything is in it's proper place. This can easily rival any of the Belgian lambics that employ raspberry, a must try.",4.5,0.7926594722992751,0.997
Green,"16 ounce can into tulip glass, canned on 3/8/2018. Pours opaquely hazy golden orange/amber color with a 1-2 finger fairly dense and rocky off white head with awesome retention, that reduces to a nice cap that lasts. Thick soapy lacing clings on the glass, with fair amount of streaming carbonation retaining the cap. Fantastic appearance. Aromas of huge tangerine, grapefruit, orange juice, lemon, lime, peach, pear, pineapple, apricot, passion fruit, papaya, mango, melon, guava, berry, citrus peel/zest, light pepper/pine, wheat, cracker, biscuit, white bread dough, herbal, and floral/grassy earthiness. Incredible aromas with fantastic balance and complexity of citrus/fruity/tropical/earthy hops and bready malt notes; with great strength. Taste of huge tangerine, grapefruit, orange juice, lemon, lime, peach, pear, pineapple, apricot, passion fruit, papaya, mango, melon, guava, berry, citrus peel/zest, light pepper/pine, wheat, cracker, biscuit, white bread dough, herbal, and floral/grassy earthiness. Very mild pine, citrus peel/rind, herbal, grassy, peppery bitterness on the finish. Lingering notes of tangerine, grapefruit, orange juice, lemon, lime, peach, pear, pineapple, apricot, passion fruit, papaya, mango, melon, guava, berry, citrus peel/zest, light pepper/pine, wheat, cracker, biscuit, white bread dough, and herbal/floral/grassy earthiness on the finish for a while. Amazing complexity, robustness, and balance of citrus/fruity/tropical/earthy hops and bready malt flavors; with an awesome malt/bitterness balance, and zero lingering hop astringency after the finish. Lightly increasing dryness from lingering bitterness. Medium carbonation and medium-plus body; with a very smooth, creamy/bready/grainy, and fairly sticky mouthfeel that is fantastic. Zero warming alcohol for 7.5%. Overall this is an insane NEIPA! All around amazing complexity, robustness, and balance of citrus/fruity/tropical/earthy hops and bready malt flavors; very smooth and refreshing to drink, with the mildly bitter/drying finish, never aggressive. Amazing soft spot on mouthfeel for the style. Extremely juicy, vibrant, and dank/earthy balanced hop complexity; great bready malt backbone, not overly sweet/heavy. A highly amazing offering, and perfect style example. One of the best I have had.",4.5,0.8133884226531414,0.997
Fou' Foune,"750ml, bottled august 2012  A- Ligh orange colour with a bit of haziness. Decent white head, soon recedes but still leaves a ring and some lacing on the sides of the glass  S- Tart acidity upfront. On the background a lively, fresh fruity feel, citric, some other fruity notes that may feel like apricots though i don't know if i would have catched it if i didn't know before. Not super complex as expected but still pleasantly strong and fresh  T- Pretty much what the smell suggested. I expected maybe something more complex but this is still great. Straightforward acidity upfront, tart with a slight spicy/prickly feel. Strong fruity notes, apricots now more easily detectable (it has that tart/sweet combination that is typical of apricots), lemon, maybe peach. Again, actually quite simple but amazingly pleasant, vivid and refreshing  M- Light body, with quite a good dose of carbonation to make it more lively. Prickly on the palate and on the sides of the mouth, more on the juicy side on the tongue, with fruit flavours more vivid there. Finish is pleasantly dry and refreshing, leaves you longing for another sip despite strong tartness  O- As already mentioned, a straightforward fruit lambic, fresh, lively, amazingly drinkable for the style, though maybe not as complex as i expected",4.25,0.8027467774494913,0.9964
Zombie Dust,"Really grateful to FBarber for hooking me up with this highly acclaimed beer via trade. I had it once on tap as a nightcap. Let’s see what it tastes like on a fresh palate. Pours an amber color with an orange hue. light haze and moderate head that displays good retention. It’s not the most special looking beer ever, but the appearance does hint at a solid body. The aroma opens with a delicious burst of citrus and tropical fruit. Notes of tangerine, freshly squeezed orange juice, grapefruit, pineapple, mango, papaya and even a hint of banana. Aromas of caramel malt foresee a solid malt base to come. Amidst all of this, a wonderful pungent layer of herbal aromas, pine, grass and dank, delight the nose. From the start, the taste opens up with earthy hops flavors, piny, resiny and dank. The palate opens dry with a significant yet clean bitterness. Flavors begin to open up, particularly the interplay between malts and hops. A firm bready and caramel malt backbone adds body, roundness and moderate sweetness. A juicy burst of citrus fruit, grapefruit rind, orange pith, and a touch of lemon fills the palate. Also, notes of tropical fruit, pineapple and mango compliment the malts and other hops flavors. Delightfully sublime taste overall, supremely balanced and dynamic. Medium bodied, moderately carbonated and smooth overall. Resiny, bitter and dry finish begs for more sips. I could crush multiple bottles. This beer is a true work of art. Finely crafted and supremely balanced. I don’t buy into all of this nonsense that its time has come and that newer beer trends have surpassed it. This magical elixir is, simply put, a delicious classic that has the ability to stand the test of time and outlast passing fads. Well worth the hype!",5.0,0.7967770546453837,0.9963
Double Dry Hopped Congress Street,"16 ounce can into tulip glass, canned on 4/11/2017. Pours opaquely hazy golden/orange/green color with a 1 finger fairly dense and fluffy off white head with good retention, that reduces to a thin cap that lingers. Nice spotty soapy lacing clings on the glass, with a fair amount of streaming carbonation. Aromas of big tangerine, grapefruit, lemon, peach, pineapple, apricot, passion fruit, papaya, mango, melon, berry, citrus peel/zest, light pepper/pine, wheat, cracker, white bread dough, herbal, and floral/grassy earthiness. Damn nice aromas with great balance and complexity of citrus/fruity/tropical hops and bready malt notes; with great strength. Taste of big tangerine, grapefruit, lemon, peach, pineapple, apricot, passion fruit, papaya, mango, melon, berry, citrus peel/zest, light pepper/pine, wheat, cracker, white bread dough, herbal, and floral/grassy earthiness. Very mild pine, herbal, grassy, zesty bitterness on the finish. Lingering notes of tangerine, grapefruit, lemon, peach, pineapple, apricot, passion fruit, papaya, mango, melon, berry, citrus peel/zest, light pepper/pine, wheat, cracker, white bread dough, and herbal/floral/grassy earthiness on the finish for a while. Awesome complexity, robustness, and balance of citrus/fruity/tropical hops and bready malt flavors; with a nice malt/bitterness balance; and zero cloying/astringent flavors after the finish. Lightly increasing dryness from lingering bitterness. Medium carbonation and body; with a very smooth, creamy/bready, and lightly sticky mouthfeel that is fantastic. Zero warming alcohol for 7.2%. Overall this is an outstanding NEIPA! All around awesome complexity, robustness, and balance of citrus/fruity/tropical hops and bready malt flavors; very smooth and easy to drink with the very mildly bitter/drying finish. Outstanding soft feel for the style. Very juicy and lightly dank Galaxy hop complexity; balanced pale/wheat malt backbone, not overly sweet/heavy for the style. Held up extremely well considering the can dating. I'm sure fresh would be mind blowing, as I had regular Congress Street a while ago. A highly enjoyable offering, and spot on style example as expected.",4.5,0.8116671331362354,0.9958
Citra,"A - Slightly hazed golden apricot color with a full, smooth, creamy, white head. Great retention leaving a thin whispy layer of lace.  S - Very fruity aroma with mango, pineapple, peach, grapefruit, and hints of passion fruit. There is a pleasant sweet malty backbone with a slight bready aspect. Ripe fruit just dominates though.  T - Reflects the nose with loads of ripe fruit (all the ones indicated above). A slight resin/floral flavor is hidden away in the fruit as well. A kick of bitterness toward the finish but it is balanced nicely with the bready malt and sweet fruit.  M - Medium body with above average carbonation. Fairly lively and zesty feel.  D - Loads of hoppy goodness and fruits make this very drinkable. Alcohol is very well hidden. Maybe a little strong on the bitterness but this was a very fresh bottle.  Notes: Wonderful DIPA. Loads of fruit with a great sweet and bitter contrast. Hops are very much on display. Well crafted and very enjoyable. I was extremely happy and lucky to get a sample.",4.5,0.8019811199525785,0.9958
Citra,"Pours a big, fluffy white head. Brew is cloudy and deep orange, deeply translucent, with gold and amber highlights and hints of red. Head retention is excellent, and lacing is sticky and thick.  Huge citrus and tropical fruit aroma (think: Enjoy By). Ruby red grapefruit and tangerine; apricots; peaches; mangos. Floral with a bit of honey. Subtle biscuity malt in the background. Absolutely superb nose.  Flavor is drier and earthier than the nose. First, a hint of citrus peel; slightly resinous hops. Then, the fruit really kicks in mid-palate: juicier citrus and tropical fruit. Final third of the hop flavors returns a mix of resin, pine, and tropical fruit, with a lasting (but pleasant) citrus peel aftertaste.  Overall flavor is surprisingly balanced and even subtle; it's not over the top, especially when compared to the aroma. Amarillo is more dominant than the Citra, IMO; it's more balanaced overall, and I don't get any dank flavors. Malt backbone is virtually nonexistent as a flavor, yet there's enough there that the hop flavors don't come across as unbalanced.  Nice, medium mouthfeel, perfect and lively in the mouth (not DIPA syrup). Minimum sting, absolutely no alcohol presence. Juicy throughout, but a fairly dry finish. Excellent.  This beer isn't really perfect in many respects, but it's damn close across the board. The only thing that I think couldn't be improved is the appearance; it just looks great. The aroma is fantastic. The taste and mouthfeel are superb, but perhaps imperfect for my particular tastes; they're certainly not flawed in any way.  A very drinkable beer; IMO, a slightly better, less citrus peel on the lasting aftertaste would bump it up yet another notch. Really a fantastic DIPA that you should thank the stars if you can get your hands on it.  Thanks to JayORear for this gift!",4.5,0.79910661120683,0.9957
Double Citra®,"Got in a BIF from Roguer. 750 ml swing top growler into signature tulip glass, best before 3/25/2017. Pours very hazy golden orange color with a 1-2 finger dense white head with fantastic retention, that reduces to a nice cap that lasts. Awesome webby soapy lacing clings around the glass. Fantastic appearance. Aromas of huge tangerine, orange juice, grapefruit, pineapple, peach, passion fruit, papaya, mango, melon, guava, berries, lemon/orange zest, light pine, honey, bread, herbal, and floral/grassy earthiness. Incredible aromas with fantastic complexity and balance of juicy citrus/tropical/fruity hops and moderate bready malt notes; with great strength. Taste of huge tangerine, orange juice, grapefruit, pineapple, peach, passion fruit, papaya, mango, melon, guava, berries, lemon/orange zest, light pine, honey, bread, herbal, and floral/grassy earthiness. Light pine/grassy/citrus peel bitterness on the finish; with lingering notes of tangerine, orange juice, grapefruit, pineapple, peach, passion fruit, papaya, mango, melon, guava, berries, lemon/orange peel, light pine, honey, bread, and herbal/floral/grassy earthiness on the finish for a while. Incredible complexity, robustness, and balance of juicy citrus/tropical/fruity hops and moderate bready malt flavors; with a fantastic malt/bitterness balance, and zero lingering hop astringency after the finish. Slight dryness from lingering bitterness, lightly increasing through the glass. Medium carbonation and medium-plus body; with a very smooth, moderately creamy/bready, and lightly silky/sticky balanced mouthfeel that is fantastic. Slight resin/rinds near the end of the glass. Zero warming alcohol for 8%. Overall this is a world class DIPA! All around insane complexity, robustness, and balance of citrus/tropical/fruity hops and moderate bready malt flavors; very smooth and easy to drink for the ABV, thanks to the smooth/mellow bitterness. Super dank, juicy, and vibrant on hop flavors; great malt balance without feeling sweet or heavy for the ABV. An absolutely mind blowing offering.",5.0,0.8113577017213005,0.9955
